race_name,race_describe,race_feature_1,race_feature_2,race_feature_3,race_feature_4,race_feature_5,race_skill_1,race_skill_2,race_skill_3,race_skill_4,race_skill_5,race_skill_6,race_skill_7,race_skill_8,race_skill_9,race_skill_10
光铸德莱尼,圣光军团与燃烧军团在扭曲虚空中厮杀了数千年。舍身投入这场漫长远征的德莱尼会接受仪式，将圣光的精华注入体内，成为光铸者。在阿古斯之战获得最终的胜利后，光铸者有了一个新的任务：保护艾泽拉斯不受任何威胁，并帮助联盟击退部落的入侵。,暴风城大使馆 暴风城大使馆坐落在矮人区的西北边，专门为迎接联盟的新支持者而建造。在大使馆中找到图拉扬，他将协助你招募光铸德莱尼。,种族坐骑：光铸邪能碾压者 这是一份来自光铸德莱尼的谢礼，这头强壮的雷象能够无所畏惧地向黑暗进军。,传承护甲 创建新的光铸德莱尼角色并升至50级，就可以获取独特的传承护甲，表彰你做出的贡献。,,,恶魔之灾 通过杀死恶魔获得的经验值提高20%。,圣光熔炉 提高锻造技能，并能让你召唤一个熔炉。,神圣抗性 降低受到的神圣伤害。,圣光裁决 对范围内敌人造成神圣伤害。,圣光清算 当死亡时候会爆发圣光，对附近的敌人造成神圣伤害，并为盟友回复生命值。,恶魔之灾 通过杀死恶魔获得的经验值提高20%。,圣光熔炉 提高锻造技能，并能让你召唤一个熔炉。,,,
虚空精灵,许多人都曾试图掌握虚空的堕落魔力。大部分这样做的人最终都陷入了疯狂。奥蕾莉亚·风行者决心使用这种力量为艾泽拉斯的福祉而战，成为了第一个成功抗拒暗影低语的凡人。为了帮助一群几乎堕入黑暗的同胞，奥蕾莉亚发誓要教导这些虚空精灵控制体内的暗影，并让他们用这种新获得的力量为联盟效力。,暴风城大使馆 暴风城大使馆坐落在矮人区的西北边，专门为迎接联盟的新支持者而建造。去大使馆寻找奥蕾莉亚，她会帮助你招募虚空精灵。,种族坐骑：星怨虚空陆行鸟 这些陆行鸟灌注了暗影之力，是以联盟之名钻研虚空之力的精灵的象征。,传承护甲 创建新的虚空精灵角色并升至50级，就可以获取独特的传承护甲，表彰你做出的贡献。,,,空间裂隙 使用空间裂隙传送至附近目的地。,暗夜之寒 降低受到的暗影伤害。,熵能之拥 你的技能有概率让你获得虚空之力的强化，造成额外伤害和治疗效果。,虚灵链接 降低幻化和虚空仓库的费用。,冷静自若 你的施法不会因为受到伤害而延迟。,空间裂隙 使用空间裂隙传送至附近目的地。,暗夜之寒 降低受到的暗影伤害。,,,
龙希尔,大地守护者奈萨里奥将巨龙的精华与凡人种族的适应能力相结合，创造出了一群精英战士，能够在龙裔形态和类人形态之间自由转换。他们在魔法静滞中封存许久，如今已从沉睡中苏醒，来面对巨龙群岛所潜藏的新兴威胁。龙希尔将从禁忌离岛开启旅程，夺回早已分崩离析的回忆，直面崭新的现实。,故土：巨龙群岛 巨龙群岛涌动着元素魔法和艾泽拉斯的生命能量，如今再度苏醒。好奇的龙希尔渴望探索此地的原始奇景，揭晓失落已久的远古奥秘。,种族坐骑：龙麒 这些高贵的野兽在战斗中表现出顽强的韧性，即使面对龙焰时也不会退缩，故而广受尊敬，是龙希尔骑兵队宝贵的坐骑。,幻容 龙希尔可以在两种可定制形态之间自由切换，在人形幻容和威严的龙裔形态下征服强敌、攻坚克难。,领袖：鳞长欣戴赛什 鳞长欣戴赛什认为，部落不过是一群毫无纪律的流浪者组成的团体，但这名暗爪营的领袖不禁对他们的荣誉感和对进步的渴望钦佩有加，并欣然与他们并肩作战。,,飞翼打击 猛力扇动双翼，击退你前方的敌人。,梦醒 提高你的精通。,敏锐目光 提高你的感知。感知可以提高你在采集时发现稀有材料的能力。,熟悉的天空 你在完全探索的大陆上时，翱翔的冷却时间缩短。,滑翔 主动激活来降低你的坠落速度。,翱翔 聚集你的力量并跃升到空中。,扫尾 挥动你的尾巴，将附近的敌人击飞至空中。,幻容 在你的龙希尔形态和幻容形态之间切换。你的幻容形态散发出魔法，大幅提高你的小队脱离战斗时的生命恢复速度。,飞翼打击 猛力扇动双翼，击退你前方的敌人。,梦醒 提高你的精通。
熊猫人,对艾泽拉斯世界的其他种族来说，除了传说和神话里的只言片语，熊猫人的一切始终是一个谜。追随火金之道的熊猫人相信，为了追求大义，唯一的错误就是怠于行动。火金派认为道德和理念并无绝对，而是会随时势变化。他们自然与务实的部落走得更近。,家园大陆：潘达利亚 自一万年前的大分裂以来，古老的潘达利亚就一直被浓雾所笼罩，直到再次被世人所发现。在这里，茂密的森林和云雾袅绕的山峰孕育了独特的种族和多样化的物种。,种族坐骑：龙龟 熊猫人一直在寻找象征着自己价值观的坐骑：富有耐心而坚强不屈。龙龟的周身天生覆盖着宛如盔甲的表皮，它们步态沉稳，即使长途跋涉也怡然自得，是熊猫人冒险者完美的旅伴。,领袖：季·火掌 外向、热情而不擅深思的季·火掌总是第一个挺身而出。他坚信最大的不公莫过于无动于衷，而为了保家卫国，不管要付出什么代价都光荣之至。,,,气功掌 在短时间内使目标昏睡。,弹力轻功 使你的坠落伤害减半。,美食家 在进食充分效果中获得额外100%的属性。,食神 提高你的烹饪技能。,平常心 在休息后获得平常时两倍的经验值奖励。,气功掌 在短时间内使目标昏睡。,弹力轻功 使你的坠落伤害减半。,,,
地精,地精的狡诈天性和贪婪本质令他们成为了商界大师。锈水财阀的地精与其交往过的盟友重修旧好，他们受到了部落的热烈欢迎。地精将与生俱来的狡诈磨砺成了锋芒，他们希望凭借爆炸性的发明创造来统治世界——至少能瓜分一些利润。,主城：锈水港 锈水港在极短的时间内拔地而起，其典型的地精建筑风格营造出了放荡混乱的氛围，此外还有赌场、娱乐场所和其他豪华设施。,种族坐骑：三轮摩托 这种坚固的三轮摩托是由经验丰富的几比达·“断指”·格雷格夫兹发明的。多年的产品研究事故最终结出了硕果，这种经久耐用、风驰电掣且几乎从不爆炸的三轮摩托就此诞生，并且在地精之中颇为抢手。,传承护甲 将地精角色升至50级，就可以开启任务并获取独特的传承护甲，表彰你做出的贡献。,领袖：贸易亲王加兹鲁维 贸易大王加里维克斯在第四次战争结束后不辞而别，锈水财阀的地精一时群龙无首。现在贸易亲王加兹鲁维凭借自己的聪明才智来领导地精，在部落议会里代表他们的声音。,,时间就是金钱 提升急速效果。,哪里都有好买卖 无论和哪个阵营进行交易都能获得最优惠的折扣。,化学让生活更美好 提高炼金术技能。,呼叫大胖   召唤你的朋友，暂时获得私人银行的权限。,火箭弹幕 向一个敌人发射腰带上的火箭，造成火焰伤害。,火箭跳 使用火箭腰带向前跳跃。,时间就是金钱 提升急速效果。,哪里都有好买卖 无论和哪个阵营进行交易都能获得最优惠的折扣。,,
血精灵,数千年来，奎尔萨拉斯的高等精灵从神奇的太阳之井中汲取奥术能量。天灾军团入侵后几乎将高等精灵屠杀殆尽，同时也让他们和太阳之井的力量失去了联系。改名为血精灵后——用他们自己的语言则是辛多雷——奎尔萨拉斯的人民在一段时间内借用恶魔的力量来满足自己对魔法的渴望。当太阳之井被修复后，血精灵便努力重建家园，希望能带领部落迈向光明的未来。,主城：银月城 银月城守卫着通往太阳之井的道路，对血精灵来说具有极为重要的战略意义。银月城宏伟的尖塔象征着辛多雷无限的优雅、创意和工艺。,种族坐骑：陆行鸟 陆行鸟因其可靠的性格和迅捷的速度而深受信赖。这些彩色的鸟类生活在血精灵王国奎尔萨拉斯的森林中，带有与生俱来的光辉，是精灵们日常生活的组成部分。,传承护甲 将血精灵角色升至50级，就可以开启任务并获取独特的传承护甲，表彰你做出的贡献。,领袖：摄政王洛瑟玛·塞隆 洛瑟玛·塞隆理解血精灵所承受的痛苦。尽管政治斗争让这位摄政王疲惫不堪，有时渴望去过简单的游侠生活，但他绝对是一位热情而坦率的人民捍卫者。,,奥术抗性 降低你受到的奥术伤害。,奥术敏锐 提高暴击几率。,奥术亲和 提高附魔技能。,奥术洪流 从半径8码范围内的所有敌人身上移除一个有益效果，并回复你的法力值。,奥术抗性 降低你受到的奥术伤害。,奥术敏锐 提高暴击几率。,,,,
巨魔,当大酋长萨尔和强大的部落军队被狂风暴雨带到遥远的岛屿上时，在此地居住的暗矛流放者已经濒临灭亡。这些巨魔得到了部落的接纳，在其他流离失所的种族里找到了自己的位置。,主城：暗矛岛 暗矛部族一直在暗矛岛上努力不懈地巩固自己的家园。在杜隆塔尔的东南方，这个布满棚屋和桥梁的丛林岛屿已然成为了部族荣耀的象征。,种族坐骑：迅猛龙 暗矛巨魔在几年前抵达回音群岛后，凶猛的卡利姆多迅猛龙就深受他们的青睐。部族认为迅猛龙是猎人本质最纯粹的体现，正因为如此，这些经过驯服的爬行动物会成为珍贵的坐骑。,领袖：酋长洛坎 多年以来，智慧过人的沃金一直领导着暗矛巨魔。他在破碎海滩之战中壮烈牺牲，暗矛巨魔的社会根基也随之动摇。资深暗影猎手洛坎站了出来，他将领导暗矛走向新的未来，并在部落议会中为部族代言。,,,再生 提高生命回复速度。,野兽杀手 提高你通过杀死野兽获得的经验值。,狂暴 暂时提高急速效果。,巫毒步 降低你受到的移动限制效果的持续时间。,再生 提高生命回复速度。,野兽杀手 提高你通过杀死野兽获得的经验值。,,,,
牛头人,爱好和平的牛头人在他们自己的语言中被称为“舒哈鲁”，他们长期居住在卡利姆多，在他们的女神大地母亲的命令下，努力地保护着大自然的平衡。牛头人部族曾经在大自然中游牧而居，如今他们已经联合起来，在先祖的家园莫高雷定居。,主城：雷霆崖 睿智的酋长凯恩·血蹄和他勇敢的部族建立了雷霆崖，这处和风环绕的台地可以俯瞰到莫高雷苍翠的土地，是生活在卡利姆多的牛头人们平静安宁的堡垒。,种族坐骑：科多兽 牛头人的传说中充满了关于生活在卡利姆多贫瘠之地的巨角科多兽的故事。虽然科多兽通常被认为生性温和，但在受到威胁时，它们也会成为凶猛的对手。,传承护甲 将牛头人角色升至50级，并在“争霸艾泽拉斯”战役中拯救贝恩·血蹄，就可以开启任务并获取独特的传承护甲，表彰你做出的贡献。,领袖：大酋长贝恩·血蹄 牛头人大酋长贝恩·血蹄是一名无双的猛士。贝恩经历过许多战争，他的领导能为喧闹的部落带来内在的宁静，其他部落领袖和无畏的牛头人因此对他敬仰有加。,,战争践踏 践踏地面并使附近的敌人晕眩。,健硕 提高暴击伤害和治疗效果。,栽培 提高你的草药学技能和采集速度。,耐久 根据角色等级提高耐力。,自然抗性 减少受到的自然伤害。,战争践踏 践踏地面并使附近的敌人晕眩。,健硕 提高暴击伤害和治疗效果。,,,
亡灵,巫妖王在洛丹伦发起了残害生灵的战役，对于不幸落难的人类来说，死亡也并非解脱之道。第三次战争后，巫妖王对天灾军团的控制开始减弱，一小支亡灵队伍挣脱了他们主人的意志。这些亡灵自称为“被遗忘者”，他们开始在这个唾弃他们的世界中勉力求存。,主城：幽暗城 庞大的幽暗城中满是蜿蜒曲折的墓穴、地窖和毒性软泥所组成的网络。剧毒烟雾充斥在这座要塞的每一个角落，几乎没有生者能够在此存活——这正符合被遗忘者的心意。,传承护甲 达到50级后，就可以开启任务以获取被遗忘者勇士的传承护甲，以表彰你对守护被遗忘者的未来做出的贡献,种族坐骑：骸骨军马 当巫妖王的亡灵瘟疫席卷整个洛丹伦王国的时候，它摧毁的不仅仅是这个王国的人类。许多在此地的优良马匹也不幸被瘟疫感染，无法安详地死去。,,,被遗忘者的意志 移除魅惑、恐惧和催眠效果。,食尸 消耗附近的一具尸体来恢复你的生命值和法力值。,暗影抗性 减少你受到的暗影伤害。,哀伤之触 你的攻击和伤害法术有一定概率吸取目标的生命，造成额外暗影伤害并为你回复生命值。,被遗忘者的意志 移除魅惑、恐惧和催眠效果。,食尸 消耗附近的一具尸体来恢复你的生命值和法力值。,,,,
兽人,兽人萨满氏族曾经居住在苍翠繁茂的德拉诺世界。他们被燃烧军团的恶魔领主基尔加丹所腐化，入侵了艾泽拉斯的世界。当兽人终于从恶魔的影响之中挣脱，他们定居在卡利姆多，建起了宏伟壮丽的主城奥格瑞玛，并开始在自己曾经试图征服的世界里寻找一席之地。,主城：奥格瑞玛 在杜隆塔尔定居后不久，兽人就建立起了以前任部落大酋长奥格瑞姆·毁灭之锤命名的主城，又在多年之间予以加固。金属尖塔在城市的街道中排成一行，部落的红黑色旌旗四处飞扬。,种族坐骑：狼 身形庞大、凶猛狂野的战狼是兽人精心挑选的同伴，也是他们青睐的交通工具。狼拥有刚猛无畏的性情，因此非常适合载着全副武装的骑手追猎庞然大物。,传承护甲 将兽人角色升至50级，就可以开启任务并获取独特的传承护甲，表彰你做出的贡献。,领袖：待定 在瓦罗克·萨鲁法尔牺牲之后，兽人们尚未正式推选出一位领袖。好在前任酋长萨尔已经挺身而出，在部落议会中代表兽人的利益，著名战士伊崔格等元老也将领导人民蓬勃发展。,,命令 提高你的宠物对敌人造成的伤害。,血性狂怒 暂时提高你的攻击强度和法术伤害。,坚韧 缩短昏迷效果的持续时间。,命令 提高你的宠物对敌人造成的伤害。,血性狂怒 暂时提高你的攻击强度和法术伤害。,,,,,
龙希尔,大地守护者奈萨里奥将巨龙的精华与凡人种族的适应能力相结合，创造出了一群精英战士，能够在龙裔形态和类人形态之间自由转换。他们在魔法静滞中封存许久，如今已从沉睡中苏醒，来面对巨龙群岛所潜藏的新兴威胁。龙希尔将从禁忌离岛开启旅程，夺回早已分崩离析的回忆，直面崭新的现实。,故土：巨龙群岛 巨龙群岛涌动着元素魔法和艾泽拉斯的生命能量，如今再度苏醒。好奇的龙希尔渴望探索此地的原始奇景，揭晓失落已久的远古奥秘。,种族坐骑：龙麒 这些高贵的野兽在战斗中表现出顽强的韧性，即使面对龙焰时也不会退缩，故而广受尊敬，是龙希尔骑兵队宝贵的坐骑。,幻容 龙希尔可以在两种可定制形态之间自由切换，在人形幻容和威严的龙裔形态下征服强敌、攻坚克难。,领袖：鳞长阿苏拉泰 黑卫营的领袖相信，假以时日，联盟可以被锤锻成一股高贵而团结的战斗力量。在鳞长阿苏拉泰眼中，秩序和纪律高于一切，而联盟显然拥有这两项品质。,,飞翼打击 猛力扇动双翼，击退你前方的敌人。,梦醒 提高你的精通。,敏锐目光 提高你的感知。感知可以提高你在采集时发现稀有材料的能力。,熟悉的天空 你在完全探索的大陆上时，翱翔的冷却时间缩短。,滑翔 主动激活来降低你的坠落速度。,翱翔 聚集你的力量并跃升到空中。,扫尾 挥动你的尾巴，将附近的敌人击飞至空中。,幻容 在你的龙希尔形态和幻容形态之间切换。你的幻容形态散发出魔法，大幅提高你的小队脱离战斗时的生命恢复速度。,飞翼打击 猛力扇动双翼，击退你前方的敌人。,梦醒 提高你的精通。
